,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
06-06,1.197,,0.849,1.559,0.192,,,0.836,1.047,0.289,,,0.783,0.239,,1.286,,0.646,0.912,
06-07,,,,1.993,,,,0.714,,0.262,,,0.656,0.334,,0.392,1.038,0.589,1.023,0.605
06-08,,0.534,,1.159,,,,0.924,0.742,0.408,,,0.654,0.482,,0.248,0.698,0.567,0.711,0.378
06-09,,0.895,,,,,,1.495,,1.033,,,0.449,,0.294,0.412,,0.726,0.674,0.208
06-10,,0.563,0.565,0.964,1.202,,,0.708,,0.586,,,0.285,0.527,0.840,0.720,1.164,0.583,0.672,0.182
06-11,,,1.731,0.773,,,,0.674,0.380,0.520,,,0.439,,0.655,0.724,1.055,0.461,0.644,
06-12,0.780,0.692,0.377,1.116,0.880,,,0.526,,0.634,,,0.337,0.453,0.929,0.405,0.599,0.384,1.432,0.511
06-13,0.646,1.269,0.704,1.459,0.540,,,0.722,0.703,0.418,,,0.456,1.490,0.648,0.773,0.433,0.460,,0.620
06-14,0.467,0.948,1.499,1.770,0.445,,,0.652,0.801,0.692,,,0.435,1.020,0.614,,0.261,0.219,,0.579
06-15,,,,0.939,0.430,,,,1.090,0.682,,,0.453,1.421,0.394,0.300,,0.308,,0.717
06-16,0.480,0.596,0.380,,0.895,,,1.436,0.657,0.957,,,,0.625,0.402,0.561,0.325,0.285,,0.567
06-17,0.612,0.197,0.177,1.060,,,,0.901,1.908,0.665,,,,0.594,0.624,0.807,,0.268,,0.415
06-18,,0.562,0.330,,,0.520,,0.589,0.941,0.556,,,0.780,0.338,0.638,,,,,0.372
06-19,,0.890,0.343,,,,,0.821,0.261,,,,,0.798,0.772,0.282,0.491,,,0.793
06-20,1.316,0.372,0.350,0.948,,,,,0.283,1.707,,,,,,0.606,,,,0.980
06-21,,,,,,,,0.515,0.591,0.458,,,0.371,,0.572,0.823,,0.287,,0.379
06-22,0.101,0.749,,,,,,1.340,0.530,0.351,,,,,1.213,1.093,0.304,0.514,,1.504
06-23,0.331,0.908,0.217,,,,,1.021,,,,,1.404,,,0.562,0.654,0.242,,0.686
06-24,0.529,0.976,0.487,0.574,,,,1.248,1.146,,,,,,,1.015,0.899,0.896,,
06-25,0.624,1.147,0.580,,,,,0.704,0.521,,,,0.461,0.479,,0.832,0.592,,,
06-26,,0.976,0.444,0.413,,,,0.837,0.603,,,,0.406,1.044,,0.931,,,,0.833
06-27,1.341,0.761,0.718,,,,,1.092,0.495,,,,0.828,0.496,,2.403,0.426,1.905,,0.320
06-28,0.573,0.267,0.612,0.724,,,,,0.478,,,,0.201,0.544,,0.724,0.397,0.519,0.432,0.373
