,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
04-14,271.57,261.88,261.57,251.21,276.63,266.99,280.56,280.41,,266.79,272.79,250.83499999999998,267.21,,251.11
04-15,281.23,258.92,262.86,251.43,272.8,288.62,269.85,272.62,267.635,282.24,260.71,255.91,270.01,273.91,252.24
04-16,271.97,271.41,257.64,251.3,275.11,290.31,,275.72,,270.36,265.53,256.1,,271.96,246.96
04-17,263.11,268.58,264.06,257.54499999999996,270.14,285.12,260.79,279.72,265.37,,259.67,260.42,277.325,271.8,256.73
04-18,253.115,268.98,270.96,,265.08,,268.44,,260.04,263.43,,269.19,293.07,274.3,246.08
04-19,256.48,264.25,267.29,259.83,274.71,264.59,262.16,279.475,260.88,265.6,264.21,272.43,286.22,,263.38
04-20,254.62,273.13,261.22,271.87,277.615,268.59,273.58,282.36,258.35,266.64,268.66,288.63,283.73,280.975,268.19
04-21,255.34,266.95000000000005,259.95,267.61,265.26,267.44,277.73,283.03,,274.4,268.56,267.99,296.01,275.99,266.56
04-22,256.03,272.71,262.69,269.67,265.69,,281.77,281.45,258.425,271.69,,265.42,282.22,273.91,
04-23,260.43,263.93,262.5,266.74,263.19,260.39,271.7,286.75,264.32,280.68,260.06,259.93,288.7,264.8,256.275
04-24,258.52,261.98,265.315,267.3,,,258.19,287.72,251.12,,271.22,270.58,269.27,267.62,254.08
04-25,267.565,265.08,265.45,275.52,270.79,,,282.18,252.56,266.925,264.81,258.07,262.26,279.59,259.82
04-26,,264.82,273.8,265.3,,271.28,276.42999999999995,284.25,247.62,272.65,267.05,251.16,271.74,,262.32
04-27,259.45,267.37,261.13,251.62,271.615,262.37,278.86,303.67,250.84,269.26,,254.83,,278.66,259.4
04-28,260.93,268.2,261.39,257.68,271.35,258.0,270.98,280.075,251.0,270.37,267.935,247.33,254.31,273.67,254.71
04-29,270.15,271.91,264.02,262.07,263.65,,268.87,,253.99,283.38,269.1,,260.24,278.62,
04-30,262.11,267.21,274.82,282.97,278.47,270.995,265.27,293.93,,263.28,279.36,257.37,265.7,265.13,262.08
05-01,260.08,269.97,277.755,257.17,282.65,265.01,262.52,280.15,267.645,284.58,270.33,256.47,262.37,263.14,258.65
05-02,277.46,270.74,,259.46,280.56,264.58,,283.73,284.91,266.89,277.58,257.87,,266.97,271.29
05-03,281.23,273.57,277.93,268.08,274.63,266.9,269.09000000000003,288.89,261.6,,272.21,259.03,263.395,271.09,
05-04,279.595,271.22,274.73,268.58,266.83,,280.38,,265.61,269.52,280.33,259.39,270.79,270.21,258.35
05-05,284.98,266.35,278.56,264.84,268.34,274.8,264.82,280.49,270.85,,266.21,258.85,277.12,,271.09
05-06,281.32,277.98,262.06,267.07,271.295,266.33,257.85,278.11,271.16,260.94,,,270.85,275.535,275.5
05-07,275.64,264.675,267.65,267.04,,272.42,269.87,277.8,,258.8,267.07,262.15,278.28,267.79,266.47
05-08,287.92,265.39,273.8,263.97,280.26,,275.38,267.77,257.43,266.1,260.58,255.92,267.37,274.08,
